dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.Year
"kayombo, cj; wimbe, e  7079",vitex,vitex payos,vitex payos (lour.) merr.,3,9,2011,246
"maesen, ljg van der; maroyi, a  8587",,acanthaceae,acanthaceae,2,1,2011,2
,eragrostis,eragrostis,eragrostis,,,,
"linden, l van der  422",imperata,imperata cylindrica,imperata cylindrica (l.) raeusch.,21,12,1981,355
"schmidt, hh; harder, dk; nkhoma, cn; luwiika, b  1382",anisophyllea,anisophyllea boehmii,anisophyllea pomifera engl. & brehmer,14,5,1994,134
,unident-poaceae,unident-poaceae,poaceae,,,,
,rottboellia,rottboellia,rottboellia,,,,
"strid, pak  2354",sapium,sapium haematospermum,sapium oblongifolium (müll.arg.) pax,21,10,1972,295
"schmidt, hh; harder, dk; nkhoma, cn; luwiika, b  1449",uapaca,,uapaca nitida müll.arg.,22,5,1994,142
"maesen, ljg van der; maroyi, a  8613",gloriosa,gloriosa simplex,gloriosa simplex l.,4,1,2011,4
1358,crotalaria,crotalaria rogersii,crotalaria rogersii,14,5,1994,134
"harder, dk; gereau, re; kayombo, cj; kayombo, mj  1222",dicliptera,dicliptera pumila,dicliptera pumila (lindau) dandy ex brenan,24,10,1992,298
"lock, jm; mackinder, ba 88 63",dichapetalum,dichapetalum mossambicense,dichapetalum mossambicense (klotzsch) engl.,23,11,1988,328
"merello, mc; harder, dk; nkhoma, cn  1002",chlorophytum,chlorophytum colubrinum,chlorophytum colubrinum (baker) engl.,8,12,1993,342
"malaisse, f; goetghebeur, p  462",phyllocosmus,phyllocosmus lemaireanus,ochthocosmus glaber r.wilczek,5,5,1985,125
,urochloa,urochloa,urochloa,,,,
,campylopus,campylopus dusenii,campylopus dusenii müll.hal.,25,12,1972,360
53,cyperus,cyperus corymbosus,cyperus corymbosus,,,,
"nkhoma, cn; et al.  217",antidesma,antidesma membranaceum,antidesma membranaceum müll.arg.,15,5,1994,135
"nkhoma, cn; harder, dk; merello, mc  68",walleria,walleria mackenzii,walleria mackenzii kirk,1,12,1993,335
3813,barleria,barleria griseoviridis,barleria griseoviridis,8,5,1997,128
ab 2217,cyphostemma,cyphostemma simplicifolium,cyphostemma simplicifolium a. bjørnstad,20,12,1972,355
"nawa, mm; harder, dk; luwiika, b; zimba, nb  130",drosera,drosera affinis,drosera affinis welw. ex oliv.,24,2,1995,55
"malaisse, f; goetghebeur, p  1031",phaulopsis,phaulopsis johnstonii,phaulopsis johnstonii c.b.clarke,21,5,1985,141
"kayombo, cj; wimbe, e  6949",plectranthus,plectranthus,plectranthus  l'hér.,2,9,2011,245
"simon, v; kibure, oa; sallu, an; gereau, re  51",ehretia,ehretia cymosa,ehretia cymosa thonn.,3,11,1998,307
55,eleocharis,eleocharis,eleocharis,,,,
"bulaimu, j  627",humularia,humularia drepanocephala,humularia drepanocephala (baker) p.a.duvign.,22,1,1973,22
zimba 974,ozoroa,ozoroa insignis,ozoroa insignis subsp. reticulata (baker f.) j.b. gillett,23,2,1997,54
nkhoma 294,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,25,5,1994,145
kuchar 23111,premna,,premna senensis klotzsch,27,2,2000,58
harder 3277,thunbergia,thunbergia florida,thunbergia retz.,29,5,1994,149
sallu 121,tarenna,tarenna pavettoides,tarenna pavettoides subsp. affinis (k. schum.) bridson,30,10,1998,303
kuchar 22504,multidentia,multidentia crassa,multidentia crassa var. crassa,3,10,1999,276
kuchar 23059,kyllinga,kyllinga brevifolia,kyllinga rottb.,21,2,2000,52
kuchar 22989,cynodon,,cynodon rich.,30,1,2000,30
kuchar 21980,eragrostis,eragrostis,eragrostis wolf,13,5,1999,133
schmidt 2520,habenaria,habenaria silvatica,habenaria silvatica schltr.,18,3,1997,77
zimba 1031,hypoxis,hypoxis angustifolia,hypoxis angustifolia lam.,8,3,1997,67
kuchar 21969,gymnanthemum,gymnanthemum exsertiflorum,vernonia exsertiflora var. tenuicalyx g.v. pope,13,5,1999,133
kuchar 24775,undesignated,,apocynaceae juss.,2,9,2001,245
abeid 349,dicliptera,dicliptera maculata,dicliptera maculata subsp. maculata,31,10,1998,304
nkhoma 167,undesignated,,undesignated,9,5,1994,129
kuchar 22483,aloe,aloe secundiflora,aloe secundiflora var. sobolifera s. carter,23,9,1999,266
mohamed 130,rytigynia,rytigynia decussata,rytigynia decussata (k. schum.) robyns,2,6,1980,154
ab 1789,chlorophytum,chlorophytum blepharophyllum,chlorophytum blepharophyllum schweinf. ex baker,10,5,1972,131
,unident-poaceae,unident-poaceae,poaceae,,,,
ab 1232,chlorophytum,chlorophytum pusillum,chlorophytum pusillum baker,13,1,1982,13
2991,cola,,cola sp.,24,6,2002,175
,melinis,,melinis,,,,
bingham 4049,euphorbia,euphorbia friesii,monadenium friesii n.e. br. ex r.e. fr.,20,12,1987,354
schmidt 1148,aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,9,11,1993,313
gereau 4378,vigna,vigna triphylla,vigna triphylla (r. wilczek) verdc.,19,3,1991,78
schmidt 1294,kotschya,kotschya strobilantha,kotschya strobilantha (welw. ex baker) dewit & p.a. duvign.,6,5,1994,126
"gereau, re; harder, dk; kayombo, mj; mwangoka, ma  4987",vigna,vigna macrorhyncha,vigna macrorhyncha (harms) milne-redh.,3,11,1992,308
lovett 1246,protea,,protea l.,28,12,1986,362
harder 2160,combretum,combretum collinum,combretum collinum fresen.,25,11,1993,329
kuchar 23021,combretum,combretum collinum,combretum collinum fresen.,21,2,2000,52
nkhoma 281,combretum,combretum zeyheri,combretum zeyheri sond.,25,5,1994,145
"breteler, fj  11859",brachystegia,brachystegia bussei,brachystegia bussei harms,18,11,1992,323
harder 1232,ziziphus,ziziphus abyssinica,ziziphus abyssinica hochst.,24,10,1992,298
"zimba, nb; harder, dk; schmidt, hh; luwiika, b  965",combretum,combretum molle,combretum molle r.br. ex g.don,23,2,1997,54
"gereau, re; kayombo, cj; mwangoka, ma  6083",bauhinia,bauhinia thonningii,bauhinia thonningii schumach.,28,12,1997,362
"kayombo, cj; wimbe, e  7233",brachystegia,brachystegia spiciformis,brachystegia spiciformis benth.,5,9,2011,248
"vollesen, kb  4742",ascolepis,,ascolepis capensis (kunth) ridl.,30,10,1977,303
"schmidt, a; harder, dk; nkhoma, cn; luwiika, b  1354",commelina,commelina diffusa,commelina diffusa burm.f.,14,5,1994,134
ab 2324,chlorophytum,chlorophytum colubrinum,chlorophytum colubrinum (baker) engl.,24,12,1972,359
"bingham, mg  7750",julbernardia,julbernardia globiflora,julbernardia globiflora (benth.) troupin,13,6,1991,164
kuchar 22647,markhamia,markhamia obtusifolia,markhamia obtusifolia (baker) sprague,17,12,1999,351
"kayombo, cj; wimbe, e  6979",spermacoce,spermacoce,spermacoce  l.,2,9,2011,245
"kayombo, cj; ayubu, j; kibure, oa  6778",cyperus,,cyperus  l.,10,8,2010,222
"kayombo, cj; ayubu, j; kibure, oa  6807",catha,catha edulis,catha edulis (vahl) forssk. ex endl.,10,8,2010,222
nkhoma 174,undesignated,,rubiaceae juss.,9,5,1994,129
harder 3170,undesignated,,poaceae barnhart,17,5,1994,137
"harder, dk  1372",doryopteris,doryopteris concolor,cheilanthes concolor (langsd. & fisch.) r.m.tryon & a.f.tryon,2,11,1992,307
kuchar 22746,plumbago,plumbago amplexicaulis,plumbago amplexicaulis oliv.,22,1,2000,22
harder 2125,ochna,ochna afzelii,ochna afzelii subsp. afzelii,25,11,1993,329
kuchar 24861,cucumis,cucumis aculeatus,cucumis aculeatus cogn.,22,9,2001,265
"lovett, pnc; kayombo, cj  463",barleria,barleria nyasensis,barleria nyasensis c.b.clarke,17,6,1991,168
"harder, dk; gereau, re; kayombo, mj  1509",margaritaria,margaritaria discoidea,margaritaria discoidea (baill.) g.l.webster var. triplosphaera radcl.-sm.,28,11,1992,333
kuchar 22506,brachystegia,brachystegia microphylla,brachystegia microphylla harms,3,10,1999,276
fakih 131,brachystegia,brachystegia manga,brachystegia manga de wild.,5,12,1998,339
kuchar 22143,pseudeminia,pseudeminia comosa,pseudeminia comosa (baker) verdc.,8,6,1999,159
kuchar 24844,dalbergia,dalbergia nitidula,dalbergia nitidula welw. ex baker,16,9,2001,259
"kayombo, cj; wimbe, e  6964",sida,sida,sida cordifolia l.,2,9,2011,245
"harder, dk; merello, mc; nkhoma, cn; malama, e  2159",combretum,combretum collinum,combretum collinum fresen.,25,11,1993,329
"ankei, y; ankei, t 79/ 141",leptactina,leptactina benguelensis,leptactina benguelensis (benth. & hook.f.) r.d.good,8,10,1979,281
"harder, dk; schmidt, hh; zimba, nb; luwiika, b  3938",chlorophytum,chlorophytum,chlorophytum  ker gawl.,2,3,1997,61
24486,commelina,commelina africana,commelina africana var. lancispatha,29,4,2001,119
1441,crotalaria,crotalaria cornetii,crotalaria cornetii,22,5,1994,142
24565,commiphora,commiphora africana,commiphora africana,12,5,2001,132
564,drimiopsis,drimiopsis botryoides prostrata,drimiopsis perfoliata baker,28,12,1971,362
kuchar 24923,psorospermum,psorospermum febrifugum,psorospermum febrifugum var. ferrugineum (hook. f.) keay & milne-redh.,14,10,2001,287
de nevers 3217,chlorophytum,chlorophytum holstii,chlorophytum holstii engl.,8,4,1984,99
laizer 1489,undesignated,,fabaceae lindl.,16,2,2006,47
kindeketa 1072,ficus,,ficus glumosa delile,13,6,2001,164
mwangoka 4267,cola,,cola schott & endl.,24,8,2005,236
mollel 682,maerua,,maerua forssk.,15,12,2001,349
kindeketa 933,julbernardia,julbernardia globiflora,julbernardia globiflora (benth.) troupin,10,6,2001,161
kindeketa 988,acacia,,acacia brevispica subsp. brevispica,11,6,2001,162
harder 3558,swartzia,,swartzia madagascariensis desv.,28,2,1996,59
mboya 375,sehima,,sehima nervosa (rottler ex roem. & schult.) stapf,20,6,2001,171
laizer 1364,ludwigia,ludwigia tomentosa,ludwigia l.,3,11,2005,307
harder 3535,exochaenium,exochaenium grande,exochaenium grande (e. mey.) griseb.,25,2,1996,56
mwangoka 2986,kanahia,,kanahia laniflora (forssk.) r. br.,22,6,2002,173
luwiika 5,thunbergia,thunbergia lancifolia,thunbergia lancifolia t. anderson,13,2,1995,44
mollel 665,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,15,12,2001,349
harder 2540,pleiogyne,,pleiogyne k. koch,8,8,1995,220
harder 2517,phyllanthus,phyllanthus niruri,phyllanthus l.,29,1,1995,29
harder 3555,undesignated,,lamiaceae martinov,28,2,1996,59
mboya 403,hibiscus,hibiscus micranthus,hibiscus micranthus l. f.,27,6,2001,178
smith 260,indigofera,indigofera trita,indigofera l.,25,2,1994,56
harder 3574,eminia,eminia holubii,eminia holubii (hemsl.) taub.,28,2,1996,59
mboya 299,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,12,6,2001,163
24066,andropogon,andropogon,andropogon chinensis,1,6,2012,153
ab 717,costus,,costus macranthus,9,12,1970,343
3938,chlorophytum,chlorophytum longifolium,chlorophytum longifolium baker,2,3,1997,61
,eragrostis,eragrostis,eragrostis,,,,
mboya 292,eragrostis,eragrostis,eragrostis aspera (jacq.) nees,12,6,2001,163
731,habenaria,,habenaria sp.,6,12,2001,340
,eragrostis,eragrostis hierniana,eragrostis hierniana,,,,
mwangoka 5338,crotalaria,crotalaria biflora,crotalaria l.,13,4,2007,103
105,craterosiphon,craterosiphon quarrei,synaptolepis quarrei,28,2,1995,59
mwangoka 5918,thunbergia,thunbergia oblongifolia,thunbergia oblongifolia oliv.,27,10,2008,301
mkeya 1100,monotes,,monotes a. dc.,2,12,1998,336
kuchar 23118,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,27,2,2000,58
gereau 5158,carissa,,carissa edulis (forssk.) vahl,23,11,1992,328
kuchar 22279,crabbea,crabbea hirsuta,crabbea harv.,25,7,1999,206
schmidt 2462,tarenna,tarenna luteola,tarenna luteola (stapf) bremek.,5,3,1997,64
kuchar 23062,spermacoce,spermacoce capitellata,spermacoce l.,21,2,2000,52
nkhoma 165,anthospermum,anthospermum ternatum,anthospermum ternatum subsp. randii puff,9,5,1994,129
23906,loudetia,loudetia simplexs,loudetia simplex,22,5,2012,143
kuchar 22934,anthephora,anthephora elongata,anthephora elongata de wild.,30,1,2000,30
lovett 1467,habenaria,habenaria leucotricha,habenaria leucotricha schltr.,8,2,1987,39
gereau 4370,liparis,,liparis nervosa (thunb.) lindl.,19,3,1991,78
harder 1314,aspilia,aspilia pluriseta,aspilia pluriseta schweinf.,29,10,1992,303
kuchar 24491,bothriocline,,bothriocline mbalensis (wild & g.v. pope) c. jeffrey,29,4,2001,119
kuchar 24341,undesignated,,fabaceae lindl.,7,4,2001,97
pócs 6841/f,fabronia,,fabronia pilifera hornsch.,12,12,1972,347
lovett 645,peperomia,peperomia tetragona,peperomia ruiz & pav.,13,4,1986,103
5032,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. boehmii,29,10,1998,302
23641,commiphora,commiphora mollis,commiphora mollis,30,4,2000,121
harder 3999,alafia,alafia zambesiaca,alafia zambesiaca kupicha,9,3,1997,68
gereau 3828,rotheca,rotheca myricoides,rotheca myricoides subsp. myricoides,3,2,1991,34
harder 3931,alectra,alectra orobanchoides,alectra orobanchoides benth.,2,3,1997,61
harder 2120,cystorchis,cystorchis praetermissa,cystorchis praetermissa schltr.,25,11,1993,329
9521,,euphorbiaceae,euphorbiaceae,24,2,1990,55
ab 2621,helixanthera,helixanthera tetrapartita,helixanthera tetrapartita (e.a. bruce) wiens & polhill,12,3,1973,71
smith 232,cyphostemma,cyphostemma junceum,cyphostemma junceum (webb) desc. ex wild & r.b. drumm.,16,2,1994,47
schmidt 2536,lippia,,lippia l.,18,3,1997,77
34,chlorophytum,chlorophytum blepharophyllum,chlorophytum blepharophyllum schweinf. ex baker,4,12,2003,338
181,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. boehmii,5,11,1998,309
gereau 4999,ficus,ficus thonningii,ficus thonningii blume,3,11,1992,308
harder 3029,crotalaria,crotalaria,crotalaria comosa baker,1,5,1994,121
harder 1377,cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,2,11,1992,307
gereau 5102,brachystegia,brachystegia wangermeeana,brachystegia wangermeeana de wild.,22,11,1992,327
sallu 118,combretum,combretum molle,combretum molle r. br. ex g. don,28,10,1998,301
gereau 5107,phragmanthera,phragmanthera usuiensis,phragmanthera usuiensis (oliv.) m.g. gilbert,22,11,1992,327
harder 3142,phyllocosmus,phyllocosmus lemaireanus,ochthocosmus lemaireanus de wild. & t. durand,17,5,1994,137
kuchar 22729,thunbergia,thunbergia natalensis,thunbergia natalensis hook.,22,1,2000,22
harder 1990,thunbergia,thunbergia kirkiana,thunbergia kirkiana t. anderson,19,11,1993,323
gh 122,chlorophytum,chlorophytum subpetiolatum,chlorophytum subpetiolatum (baker) kativu,2,12,2007,336
kindeketa 923,gutenbergia,gutenbergia rueppellii,gutenbergia rueppellii sch. bip.,10,6,2001,161
magill 13533,brachymenium,brachymenium angolense,brachymenium angolense (welw. & duby) a. jaeger,5,2,1997,36
kindeketa 900,fadogia,fadogia ancylantha,fadogia ancylantha hiern,25,5,2001,145
harder 1854,ximenia,,ximenia caffra sond.,5,11,1993,309
mollel 711,stylosanthes,stylosanthes fruticosa,stylosanthes fruticosa (retz.) alston,16,12,2001,350
kuchar 21955,undesignated,,cucurbitaceae juss.,13,5,1999,133
1076,chlorophytum,chlorophytum andongense,chlorophytum andongense baker,8,3,1997,67
harder 3979,undesignated,,undesignated,9,3,1997,68
kuchar 22660,ficus,,ficus l.,17,12,1999,351
nkhoma 62,psydrax,psydrax livida,psydrax livida (hiern) bridson,30,11,1993,334
kuchar 21973,spermacoce,spermacoce senensis,spermacoce senensis (klotzsch) hiern,13,5,1999,133
de nevers 3176,tricliceras,tricliceras bivinianum,tricliceras bivinianum (tul.) r. fern.,3,4,1984,94
harder 1852,commiphora,commiphora marlothii,commiphora marlothii engl.,5,11,1993,309
kuchar 24560,macrotyloma,macrotyloma daltonii,macrotyloma daltonii (webb) verdc.,12,5,2001,132
zimba 1045,pseudarthria,pseudarthria hookeri,pseudarthria hookeri var. hookeri,8,3,1997,67
kuchar 24794,cassia,,cassia abbreviata subsp. beareana (holmes) brenan,8,9,2001,251
harder 3203,dissotis,,dissotis gracilis cogn.,17,5,1994,137
kuchar 22462,erianthemum,erianthemum dregei,erianthemum dregei (eckl. & zeyh.) tiegh.,12,9,1999,255
kuchar 22770,euphorbia,euphorbia,euphorbia l.,22,1,2000,22
nkhoma 266,allophylus,allophylus fulvotomentosus,allophylus fulvotomentosus gilg,24,5,1994,144
lovett 459,strychnos,strychnos innocua,strychnos innocua delile,17,6,1991,168
mwangoka 5930,lopholaena,lopholaena dolichopappa,lopholaena dolichopappa (o. hoffm.) s. moore,27,10,2008,301
mwangoka 5934,tephrosia,tephrosia mimosoides,tephrosia pers.,27,10,2008,301
mwangoka 5935,fadogia,fadogia leucophloea,fadogia schweinf.,27,10,2008,301
metele 163,gardenia,,gardenia ternifolia subsp. jovis-tonantis (welw.) verdc.,28,10,1998,301
metele 165,vangueria,vangueria infausta,vangueria infausta burch.,30,10,1998,303
mwangoka 5337,aspilia,aspilia kotschyi,aspilia kotschyi (sch. bip. ex hochst.) oliv.,13,4,2007,103
mwangoka 5373,acridocarpus,acridocarpus zanzibaricus,acridocarpus zanzibaricus a. juss.,18,4,2007,108
festo 1981,cyathula,cyathula prostrata,cyathula blume,8,6,2005,159
"gereau, re; kibare, oa; salu, an  6175",ficus,ficus ingens,ficus ingens (miq.) miq.,2,11,1998,306
harder 2152,noronhia,,noronhia richardsiae (stearn) hong-wa & besnard,25,11,1993,329
kayombo 4405,grewia,,grewia l.,31,7,2003,212
laizer 1325,xylopia,xylopia collina,xylopia collina diels,3,11,2005,307
kuchar 22748,cyperus,,cyperus l.,22,1,2000,22
kuchar 24857,multidentia,multidentia crassa,multidentia crassa (hiern) bridson & verdc.,22,9,2001,265
harder 3085,biophytum,biophytum sensitivum,biophytum dc.,13,5,1994,133
kindeketa 1035,jasminum,jasminum azoricum,jasminum l.,12,6,2001,163
abeid 2086,maytenus,maytenus boaria,maytenus molina,14,8,2005,226
1380,commelina,commelina bracteosa,commelina bracteosa hassk.,3,11,2005,307
2452,paropsia,paropsia brazzaeana,paropsia brazzaeana,5,3,1997,64
7020,asystasia,asystasia gangetica,asystasia gangetica,7,1,1991,7
kuchar 24326,sporobolus,sporobolus festivus,sporobolus festivus hochst. ex a. rich.,7,4,2001,97
schmidt 2550,pentas,pentas angustifolia,pentas angustifolia (a. rich.) verdc.,18,3,1997,77
mollel 670,tarenna,tarenna burttii,tarenna burttii bridson,15,12,2001,349
gereau 3906,protea,protea welwitschii,protea welwitschii engl.,6,2,1991,37
harder 3552,fadogia,fadogia ancylantha,fadogia ancylantha hiern,28,2,1996,59
harder 3541,undesignated,,poaceae barnhart,25,2,1996,56
kuchar 24060,sporobolus,,sporobolus r. br.,8,8,2001,220
kuchar 23034,cassipourea,cassipourea guianensis,cassipourea aubl.,21,2,2000,52
kuchar 22642,hibiscus,hibiscus meyeri,hibiscus meyeri harv.,17,12,1999,351
schmidt 1455,ampelocissus,ampelocissus obtusata,ampelocissus obtusata subsp. kirkiana (planch.) wild & r.b. drumm.,22,5,1994,142
harder 1313,vigna,vigna antunesii,vigna nuda n.e. br.,29,10,1992,303
kayombo 5059,harungana,harungana madagascariensis,harungana madagascariensis lam. ex poir.,29,10,2005,302
kayombo 5063,xeroderris,xeroderris stuhlmannii,xeroderris stuhlmannii (taub.) mendonça & e.p. sousa,29,10,2005,302
kibure 837,maerua,maerua parvifolia,maerua parvifolia pax,23,4,2003,113
24063,hyparrhenia,hyparrhenia anamesa,hyparrhenia anamesa,1,6,2012,153
kuchar 25163,physostigma,physostigma mesoponticum,physostigma mesoponticum taub.,3,3,2002,62
mwangoka 3935,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,7,6,2005,158
bodine 142,tinnea,,tinnea gracilis gürke,7,6,2005,158
kuchar 24791,distephanus,distephanus divaricatus,distephanus divaricatus (steetz) h. rob. & b. kahn,8,9,2001,251
kibure 892,loudetia,,loudetia superba de not.,24,4,2003,114
nawa 112,undesignated,,asteraceae bercht. & j. presl,24,2,1995,55
mboya 282,undesignated,,undesignated,12,6,2001,163
mwangoka 4246,trilepisium,trilepisium madagascariense,trilepisium madagascariense dc.,23,8,2005,235
mollel 660,maerua,maerua eminii,maerua eminii pax,15,12,2001,349
,macrocoma,macrocoma tenuis sullivantii,macromitrium abyssinicum müll.hal.,12,12,1972,347
mollel 779,dolichos,dolichos oliveri,dolichos oliveri schweinf.,23,12,2001,357
mollel 622,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,13,6,2001,164
gereau 6150,dichapetalum,dichapetalum stuhlmannii,dichapetalum stuhlmannii engl.,28,10,1998,301
mwangoka 3000,macaranga,macaranga kilimandscharica,macaranga kilimandscharica pax,28,6,2002,179
mwangoka 3979,cissus,cissus rubiginosa,cissus rubiginosa (welw. ex baker) planch.,7,8,2005,219
abeid 2192,lannea,,lannea a. rich.,22,8,2005,234
mollel 719,strychnos,strychnos potatorum,strychnos potatorum l. f.,16,12,2001,350
ezrom 213,synaptolepis,synaptolepis alternifolia,synaptolepis alternifolia oliv.,15,11,2005,319
mollel 583,barleria,barleria calophylloides,barleria calophylloides lindau,13,6,2001,164
kayombo 5057,strychnos,strychnos cocculoides,strychnos cocculoides baker,29,10,2005,302
kindeketa 907,hymenodictyon,hymenodictyon parvifolium,hymenodictyon parvifolium subsp. scabrum (stapf) verdc.,25,5,2001,145
harder 2530,echinochloa,echinochloa colona,echinochloa colona (l.) link,8,8,1995,220
laizer 1477,siphonochilus,,siphonochilus j.m. wood & franks,16,2,2006,47
laizer 1474,aspilia,aspilia mossambicensis,aspilia mossambicensis (oliv.) wild,16,2,2006,47
simon 50,eclipta,eclipta prostrata,eclipta prostrata (l.) l.,3,11,1998,307
kindeketa 1198,margaritaria,margaritaria discoidea,margaritaria discoidea (baill.) g.l. webster,23,6,2001,174
harder 3686,undesignated,,scrophulariaceae juss.,12,3,1996,72
975,chlorophytum,chlorophytum puberulum,chlorophytum floribundum baker,23,2,1997,54
gereau 6214,pouteria,,pouteria alnifolia (baker) roberty,15,11,1998,319
nawa 122,undesignated,,linaceae dc. ex perleb,24,2,1995,55
mwangoka 4269,xylopia,,xylopia l.,24,8,2005,236
gereau 7000,dolichos,dolichos kilimandscharicus,dolichos kilimandscharicus subsp. kilimandscharicus,23,1,2008,23
luke 10114,erythrophleum,erythrophleum africanum,erythrophleum africanum (welw. ex benth.) harms,13,12,2003,347
gereau 6093,thespesia,thespesia garckeana,thespesia garckeana f. hoffm.,28,12,1997,362
abeid 2184,senna,,senna mill.,21,8,2005,233
mollel 639,dalbergia,dalbergia fischeri,dalbergia fischeri taub.,15,6,2001,166
mollel 659,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,15,12,2001,349
kindeketa 1024,acacia,,acacia brevispica subsp. brevispica,12,6,2001,163
luwiika 105,craterosiphon,craterosiphon quarrei,synaptolepis quarrei (staner) z.s. rogers,28,2,1995,59
kuchar 22632,terminalia,terminalia sericea,terminalia sericea burch. ex dc.,17,12,1999,351
kuchar 24800,lannea,lannea schimperi,lannea schimperi (hochst. ex a. rich.) engl.,8,9,2001,251
kuchar 24654,fimbristylis,fimbristylis squarrosa esquarrosa,fimbristylis vahl,2,6,2001,153
kindeketa 1149,jasminum,jasminum streptopus,jasminum streptopus e. mey. ex dc.,18,6,2001,169
mwangoka 3982,chionanthus,,chionanthus l.,1,8,2005,213
mboya 287,lobelia,lobelia fervens,lobelia fervens subsp. fervens,12,6,2001,163
mollel 724,tricalysia,tricalysia vanroechoudtii,tricalysia a. rich. ex dc.,16,12,2001,350
harder 3543,undesignated,,amaranthaceae juss.,25,2,1996,56
gereau 6087,pseudolachnostylis,pseudolachnostylis maprouneifolia,pseudolachnostylis maprouneifolia var. maprouneifolia,28,12,1997,362
kindeketa 929,ipomoea,ipomoea involucrata,ipomoea involucrata var. involucrata,10,6,2001,161
laizer 1328,pseudolachnostylis,pseudolachnostylis maprouneifolia,pseudolachnostylis maprouneifolia pax,3,11,2005,307
harder 1277,leptactina,leptactina benguelensis,leptactina benguelensis subsp. pubescens verdc.,28,10,1992,302
schmidt 2502,biophytum,biophytum sensitivum,biophytum dc.,11,3,1997,70
kuchar 22623,chlorophytum,chlorophytum viridescens,chlorophytum viridescens engl.,17,12,1999,351
kuchar 22935,anthephora,anthephora elongata,anthephora elongata de wild.,30,1,2000,30
kuchar 22292,hibiscus,hibiscus vitifolius,hibiscus l.,25,7,1999,206
gereau 4980,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,3,11,1992,308
kuchar 25013,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,9,1,2002,9
mboya 390,cissus,,cissus l.,20,6,2001,171
gereau 6212,vepris,vepris sansibarensis,vepris sansibarensis (engl.) mziray,15,11,1998,319
bingham 4044,tricalysia,tricalysia condensis,tricalysia cacondensis hiern,26,7,1987,207
harder 3685,spermacoce,spermacoce capitellata,spermacoce l.,12,3,1996,72
gereau 6199,ocimum,ocimum basilicum,ocimum l.,5,11,1998,309
harder 3199,undesignated,,scrophulariaceae juss.,17,5,1994,137
harder 1983,murdannia,murdannia simplex,murdannia simplex (vahl) brenan,19,11,1993,323
merello 1001,gnidia,gnidia kraussiana,gnidia kraussiana meisn.,8,12,1993,342
kuchar 22639,waltheria,waltheria,waltheria l.,17,12,1999,351
kayombo 5053,ochna,ochna atropurpurea,ochna mossambicensis klotzsch,29,10,2005,302
harder 3250,undesignated,,proteaceae juss.,29,5,1994,149
gereau 7059,lonchocarpus,lonchocarpus macrophyllus,lonchocarpus kunth,27,1,2008,27
mwangoka 4271,ehretia,ehretia,ehretia p. browne,24,8,2005,236
mollel 728,combretum,combretum molle,combretum molle r. br. ex g. don,16,12,2001,350
harder 3540,habenaria,habenaria anisitsii,habenaria willd.,25,2,1996,56
kayombo 5037,pyrenacantha,pyrenacantha volubilis,pyrenacantha hook.,29,10,2005,302
mboya 254,sphaeranthus,sphaeranthus steetzii,sphaeranthus steetzii oliv. & hiern,12,6,2001,163
mboya 255,heteropogon,heteropogon contortus,heteropogon pers.,12,6,2001,163
mwangoka 2988,breonadia,breonadia salicina,breonadia salicina (vahl) hepper & j.r.i. wood,22,6,2002,173
kindeketa 1170,bobgunnia,bobgunnia madagascariensis,bobgunnia madagascariensis (desv.) j.h. kirkbr. & wiersema,20,6,2001,171
kindeketa 1085,grewia,grewia burttii,grewia burttii exell,13,6,2001,164
mwangoka 6265,tricalysia,tricalysia vanroechoudtii,tricalysia a. rich. ex dc.,4,7,2009,185
,brachymenium,brachymenium angolense,brachymenium holstii broth.,24,12,1972,359
kuchar 22679,cyperus,,cyperus l.,18,12,1999,352
kuchar 24562,xenostegia,xenostegia tridentata,xenostegia tridentata (l.) d.f. austin & staples,12,5,2001,132
mboya 379,polygala,polygala xanthina,polygala xanthina chodat,20,6,2001,171
kuchar 24739,combretum,combretum mossambicense,combretum mossambicense (klotzsch) engl.,1,9,2001,244
harder 3095,undesignated,,poaceae barnhart,13,5,1994,133
kindeketa 1025,premna,,premna senensis klotzsch,12,6,2001,163
schmidt 1249,agelanthus,agelanthus pungu,agelanthus pungu (de wild.) polhill & wiens,26,11,1993,330
harder 2511,polygala,polygala paniculata,polygala l.,29,1,1995,29
harder 3262,securidaca,securidaca volubilis,securidaca l.,29,5,1994,149
gereau 3903,indigofera,indigofera emarginella,indigofera emarginella steud. ex a. rich.,6,2,1991,37
